time/s	mode	Capacity/mA.h	(Q-Qo)/mA.h	Ewe/V	cycle number	
4.900000086792148E+003	1	5.153232570823617E+000	-5.153232551004344E+000	2.4482203E+000	0.000000000000000E+000
4.930000086428932E+003	1	5.184847544552738E+000	-5.184847524291012E+000	2.4482393E+000	0.000000000000000E+000
4.960000086065716E+003	1	5.216462649069483E+000	-5.216462628368775E+000	2.4484684E+000	0.000000000000000E+000
4.990000085702501E+003	1	5.248077739899597E+000	-5.248077718757126E+000	2.4486403E+000	0.000000000000000E+000
5.020000085339285E+003	1	5.279692816248180E+000	-5.279692794660965E+000	2.4484684E+000	0.000000000000000E+000
5.050000084976069E+003	1	5.311307861845786E+000	-5.311307839815670E+000	2.4485066E+000	0.000000000000000E+000
5.080000084612853E+003	1	5.342922827536174E+000	-5.342922805064532E+000	2.4487739E+000	0.000000000000000E+000
5.110000084249637E+003	1	5.374537854195715E+000	-5.374537831285384E+000	2.4487357E+000	0.000000000000000E+000
5.140000083886422E+003	1	5.406152828281364E+000	-5.406152804932542E+000	2.4487166E+000	0.000000000000000E+000
5.170000083523206E+003	1	5.437767796966461E+000	-5.437767773178379E+000	2.4486403E+000	0.000000000000000E+000
5.200000083159990E+003	1	5.469382781875333E+000	-5.469382757642812E+000	2.4487739E+000	0.000000000000000E+000
5.230000082796774E+003	1	5.500997743886299E+000	-5.500997719212505E+000	2.4487548E+000	0.000000000000000E+000
5.260000082433558E+003	1	5.532612711517282E+000	-5.532612686401367E+000	2.4487929E+000	0.000000000000000E+000
5.290000082070343E+003	1	5.564227582028177E+000	-5.564227556474858E+000	2.4489267E+000	0.000000000000000E+000
5.320000081707127E+003	1	5.595842527033687E+000	-5.595842501041730E+000	2.4491558E+000	0.000000000000000E+000
5.350000081343911E+003	1	5.627457547985541E+000	-5.627457521551516E+000	2.4490411E+000	0.000000000000000E+000
5.380000080980695E+003	1	5.659072470206513E+000	-5.659072443332804E+000	2.4493086E+000	0.000000000000000E+000
5.410000080617479E+003	1	5.690687358031975E+000	-5.690687330715815E+000	2.4492893E+000	0.000000000000000E+000
5.440000080254264E+003	1	5.722302217614717E+000	-5.722302189860159E+000	2.4492893E+000	0.000000000000000E+000
5.470000079891048E+003	1	5.753917121782131E+000	-5.753917093588273E+000	2.4494040E+000	0.000000000000000E+000
5.500000079527832E+003	1	5.785531961534686E+000	-5.785531932898760E+000	2.4493277E+000	0.000000000000000E+000
5.530000079164616E+003	1	5.817146910001451E+000	-5.817146880927364E+000	2.4494421E+000	0.000000000000000E+000
5.560000078801400E+003	1	5.848761933295106E+000	-5.848761903776156E+000	2.4494612E+000	0.000000000000000E+000
5.590000078438185E+003	1	5.880376930211334E+000	-5.880376900246713E+000	2.4495950E+000	0.000000000000000E+000
5.620000078074969E+003	1	5.911992000220989E+000	-5.911991969815174E+000	2.4498050E+000	0.000000000000000E+000
5.650000077711753E+003	1	5.943606977166707E+000	-5.943606946320481E+000	2.4496522E+000	0.000000000000000E+000
5.680000077348537E+003	1	5.975221947742729E+000	-5.975221916451162E+000	2.4498622E+000	0.000000000000000E+000
5.710000076985321E+003	1	6.006836875461461E+000	-6.006836843730529E+000	2.4499195E+000	0.000000000000000E+000
5.740000076622106E+003	1	6.038451778555131E+000	-6.038451746381270E+000	2.4500341E+000	0.000000000000000E+000
5.770000076258890E+003	1	6.070066829352488E+000	-6.070066796737499E+000	2.4502249E+000	0.000000000000000E+000
5.800000075895674E+003	1	6.101681821966347E+000	-6.101681788910045E+000	2.4503396E+000	0.000000000000000E+000
5.830000075532458E+003	1	6.133296807460298E+000	-6.133296773960776E+000	2.4504158E+000	0.000000000000000E+000
5.860000075169242E+003	1	6.164911725712462E+000	-6.164911691771679E+000	2.4504540E+000	0.000000000000000E+000
5.890000074806027E+003	1	6.196526735661232E+000	-6.196526701276925E+000	2.4506068E+000	0.000000000000000E+000
5.920000074442811E+003	1	6.228141691692660E+000	-6.228141656869570E+000	2.4508932E+000	0.000000000000000E+000
5.950000074079595E+003	1	6.259756786751168E+000	-6.259756751484950E+000	2.4507596E+000	0.000000000000000E+000
5.980000073716379E+003	1	6.291371908117510E+000	-6.291371872410403E+000	2.4506450E+000	0.000000000000000E+000
6.010000073353163E+003	1	6.322986925279263E+000	-6.322986889130407E+000	2.4507022E+000	0.000000000000000E+000
6.040000072989948E+003	1	6.354601944031599E+000	-6.354601907438663E+000	2.4506259E+000	0.000000000000000E+000
6.070000072626732E+003	1	6.386216947246607E+000	-6.386216910210266E+000	2.4507022E+000	0.000000000000000E+000
6.100000072263516E+003	1	6.417831993939350E+000	-6.417831956461853E+000	2.4506068E+000	0.000000000000000E+000
6.130000071900300E+003	1	6.449447047029949E+000	-6.449447009109921E+000	2.4509697E+000	0.000000000000000E+000
6.160000071537084E+003	1	6.481062096782317E+000	-6.481062058419466E+000	2.4510651E+000	0.000000000000000E+000
6.190000071173868E+003	1	6.512677139022884E+000	-6.512677100219091E+000	2.4512560E+000	0.000000000000000E+000
6.220000070810653E+003	1	6.544292174090469E+000	-6.544292134844184E+000	2.4513896E+000	0.000000000000000E+000
6.250000070447437E+003	1	6.575907174877885E+000	-6.575907135190884E+000	2.4514470E+000	0.000000000000000E+000
6.280000070084221E+003	1	6.607522275572065E+000	-6.607522235446334E+000	2.4518669E+000	0.000000000000000E+000
6.310000069721005E+003	1	6.639137408285410E+000	-6.639137367718657E+000	2.4519434E+000	0.000000000000000E+000
